Name	Start	Duration	Time Format	Type	Description
r	0:53.299	0:00.000	decimal	Cue	
l	0:53.400	0:00.000	decimal	Cue	
r	0:53.503	0:00.000	decimal	Cue	
l	0:53.608	0:00.000	decimal	Cue	
lu	0:53.608	0:00.438	decimal	Cue	
ru	0:53.608	0:00.438	decimal	Cue	
l third	0:54.046	0:00.000	decimal	Cue	
r	0:54.877	0:00.000	decimal	Cue	
l	0:55.697	0:00.000	decimal	Cue	
lu	0:56.085	0:01.146	decimal	Cue	
l	0:56.528	0:00.000	decimal	Cue	
ru	0:56.660	0:01.676	decimal	Cue	
r	0:57.370	0:00.000	decimal	Cue	
ld	0:57.370	0:01.734	decimal	Cue	
r	0:58.188	0:00.000	decimal	Cue	
rd	0:58.569	0:01.661	decimal	Cue	
l	0:58.991	0:00.000	decimal	Cue	
r	0:59.838	0:00.000	decimal	Cue	
lu	0:59.838	0:02.350	decimal	Cue	
l	1:00.659	0:00.000	decimal	Cue	
r	1:01.481	0:00.000	decimal	Cue	
l	1:02.294	0:00.000	decimal	Cue	
ru	1:02.683	0:01.316	decimal	Cue	
r	1:03.327	0:00.000	decimal	Cue	
ld	1:03.327	0:01.573	decimal	Cue	
l	1:03.977	0:00.000	decimal	Cue	
rd	1:04.135	0:01.477	decimal	Cue	
r	1:04.794	0:00.000	decimal	Cue	
lu	1:05.095	0:01.721	decimal	Cue	
l	1:05.613	0:00.000	decimal	Cue	
ru	1:05.963	0:00.964	decimal	Cue	
r	1:06.436	0:00.000	decimal	Cue	
l	1:06.816	0:00.000	decimal	Cue	
l fourth	1:07.264	0:00.000	decimal	Cue	
r	1:07.692	0:00.000	decimal	Cue	
r	1:07.892	0:00.000	decimal	Cue	
r	1:08.102	0:00.000	decimal	Cue	
l	1:08.531	0:00.000	decimal	Cue	
l	1:08.712	0:00.000	decimal	Cue	
l	1:08.929	0:00.000	decimal	Cue	
l	1:09.134	0:00.000	decimal	Cue	
r	1:09.233	0:00.000	decimal	Cue	
l	1:09.330	0:00.000	decimal	Cue	
l	1:09.532	0:00.000	decimal	Cue	
r	1:09.754	0:00.000	decimal	Cue	
l	1:09.951	0:00.000	decimal	Cue	
r	1:09.951	0:00.000	decimal	Cue	
ld	1:09.951	0:00.622	decimal	Cue	
ru	1:10.165	0:00.408	decimal	Cue	
r	1:10.166	0:00.000	decimal	Cue	
r	1:11.034	0:00.000	decimal	Cue	
r	1:11.229	0:00.000	decimal	Cue	
r	1:11.445	0:00.000	decimal	Cue	
l	1:11.849	0:00.000	decimal	Cue	
ru	1:11.849	0:00.831	decimal	Cue	
l	1:12.055	0:00.000	decimal	Cue	
l	1:12.267	0:00.000	decimal	Cue	
r	1:12.470	0:00.000	decimal	Cue	
l	1:12.577	0:00.000	decimal	Cue	
r	1:12.676	0:00.000	decimal	Cue	
l	1:12.865	0:00.000	decimal	Cue	
rd	1:12.865	0:00.634	decimal	Cue	
r	1:13.498	0:00.000	decimal	Cue	
l	1:13.498	0:00.000	decimal	Cue	
l	1:13.918	0:00.000	decimal	Cue	
l	1:14.346	0:00.000	decimal	Cue	
l	1:14.541	0:00.000	decimal	Cue	
l	1:14.755	0:00.000	decimal	Cue	
r	1:15.180	0:00.000	decimal	Cue	
r	1:15.371	0:00.000	decimal	Cue	
r	1:15.592	0:00.000	decimal	Cue	
r	1:15.782	0:00.000	decimal	Cue	
l	1:15.865	0:00.000	decimal	Cue	
r	1:15.991	0:00.000	decimal	Cue	
l	1:16.411	0:00.000	decimal	Cue	
r	1:16.411	0:00.000	decimal	Cue	
l	1:16.838	0:00.000	decimal	Cue	
r	1:16.839	0:00.000	decimal	Cue	
ld	1:16.839	0:02.359	decimal	Cue	
rd	1:16.839	0:01.520	decimal	Cue	
ru	1:18.576	0:01.672	decimal	Cue	
r	1:19.420	0:00.000	decimal	Cue	
lu	1:19.420	0:00.829	decimal	Cue	
r	1:19.630	0:00.000	decimal	Cue	
l	1:19.736	0:00.000	decimal	Cue	
r	1:19.838	0:00.000	decimal	Cue	
l	1:19.935	0:00.000	decimal	Cue	
r	1:20.032	0:00.000	decimal	Cue	
l	1:20.132	0:00.000	decimal	Cue	
l fifth	1:20.249	0:00.000	decimal	Cue	
lu	1:20.362	0:00.762	decimal	Cue	
r	1:20.693	0:00.000	decimal	Cue	
l	1:21.124	0:00.000	decimal	Cue	
l	1:21.314	0:00.000	decimal	Cue	
l	1:21.536	0:00.000	decimal	Cue	
r	1:21.971	0:00.000	decimal	Cue	
r	1:22.168	0:00.000	decimal	Cue	
r	1:22.385	0:00.000	decimal	Cue	
r	1:22.792	0:00.000	decimal	Cue	
ld	1:22.843	0:00.782	decimal	Cue	
l	1:22.983	0:00.000	decimal	Cue	
r	1:23.188	0:00.000	decimal	Cue	
ru	1:23.188	0:00.437	decimal	Cue	
l	1:23.383	0:00.000	decimal	Cue	
l	1:23.625	0:00.000	decimal	Cue	
r	1:23.625	0:00.000	decimal	Cue	
l	1:24.049	0:00.000	decimal	Cue	
r	1:24.485	0:00.000	decimal	Cue	
r	1:24.676	0:00.000	decimal	Cue	
r	1:24.887	0:00.000	decimal	Cue	
l	1:25.087	0:00.000	decimal	Cue	
ru	1:25.087	0:01.112	decimal	Cue	
l	1:25.722	0:00.000	decimal	Cue	
ld	1:25.926	0:00.769	decimal	Cue	
rd	1:26.337	0:00.725	decimal	Cue	
r	1:26.541	0:00.000	decimal	Cue	
r	1:26.959	0:00.000	decimal	Cue	
l	1:26.959	0:00.000	decimal	Cue	
r	1:27.404	0:00.000	decimal	Cue	
l	1:27.831	0:00.000	decimal	Cue	
r	1:28.254	0:00.000	decimal	Cue	
lu	1:28.668	0:01.242	decimal	Cue	
r	1:29.070	0:00.000	decimal	Cue	
l	1:29.910	0:00.000	decimal	Cue	
ld	1:30.077	0:02.008	decimal	Cue	
rd	1:30.077	0:02.008	decimal	Cue	
l	1:30.348	0:00.000	decimal	Cue	
r	1:30.348	0:00.000	decimal	Cue	
l	1:31.009	0:00.000	decimal	Cue	
r	1:32.083	0:00.000	decimal	Cue	
ru	1:32.300	0:01.369	decimal	Cue	
lu	1:32.300	0:01.481	decimal	Cue	
r	1:32.950	0:00.000	decimal	Cue	
l	1:32.950	0:00.000	decimal	Cue	
l	1:33.156	0:00.000	decimal	Cue	
r	1:33.258	0:00.000	decimal	Cue	
l	1:33.357	0:00.000	decimal	Cue	
r	1:33.451	0:00.000	decimal	Cue	
l	1:33.563	0:00.000	decimal	Cue	
r	1:33.668	0:00.000	decimal	Cue	
l	1:33.782	0:00.000	decimal	Cue	
r	1:33.782	0:00.000	decimal	Cue	
rd	1:33.782	0:01.289	decimal	Cue	
l	1:35.072	0:00.000	decimal	Cue	
r	1:35.905	0:00.000	decimal	Cue	
r	1:36.517	0:00.000	decimal	Cue	
r	1:36.718	0:00.000	decimal	Cue	
l	1:36.924	0:00.000	decimal	Cue	
l	1:37.149	0:00.000	decimal	Cue	
ru	1:37.149	0:00.851	decimal	Cue	
l	1:37.590	0:00.000	decimal	Cue	
l	1:37.997	0:00.000	decimal	Cue	
l	1:38.210	0:00.000	decimal	Cue	
r	1:38.420	0:00.000	decimal	Cue	
r	1:38.637	0:00.000	decimal	Cue	
r	1:39.229	0:00.000	decimal	Cue	
lu	1:39.969	0:01.014	decimal	Cue	
l	1:40.135	0:00.000	decimal	Cue	
rd	1:40.531	0:01.300	decimal	Cue	
r	1:40.984	0:00.000	decimal	Cue	
l	1:41.399	0:00.000	decimal	Cue	
l	1:41.611	0:00.000	decimal	Cue	
l	1:41.831	0:00.000	decimal	Cue	
r	1:42.264	0:00.000	decimal	Cue	
r	1:42.465	0:00.000	decimal	Cue	
ld	1:42.553	0:00.884	decimal	Cue	
r	1:42.663	0:00.000	decimal	Cue	
l	1:43.073	0:00.000	decimal	Cue	
r	1:43.073	0:00.000	decimal	Cue	
l	1:43.512	0:00.000	decimal	Cue	
r	1:43.512	0:00.000	decimal	Cue	
lu	1:43.512	0:01.318	decimal	Cue	
l	1:43.956	0:00.000	decimal	Cue	
rd	1:43.956	0:01.086	decimal	Cue	
ld	1:45.043	0:01.314	decimal	Cue	
ru	1:45.265	0:01.092	decimal	Cue	
l	1:46.564	0:00.000	decimal	Cue	
r	1:46.564	0:00.000	decimal	Cue	
r	1:46.768	0:00.000	decimal	Cue	
l	1:46.873	0:00.000	decimal	Cue	
r	1:46.984	0:00.000	decimal	Cue	
l	1:47.085	0:00.000	decimal	Cue	
r	1:47.188	0:00.000	decimal	Cue	
l	1:47.289	0:00.000	decimal	Cue	
r sixth	1:47.401	0:00.000	decimal	Cue	
rd	1:47.401	0:01.869	decimal	Cue	
ld	1:47.840	0:00.960	decimal	Cue	
r	1:48.672	0:00.000	decimal	Cue	
lu	1:49.058	0:01.247	decimal	Cue	
l	1:49.503	0:00.000	decimal	Cue	
ru	1:49.503	0:00.802	decimal	Cue	
l	1:50.305	0:00.000	decimal	Cue	
rd	1:50.459	0:00.678	decimal	Cue	
ld	1:50.459	0:00.678	decimal	Cue	
l	1:50.701	0:00.000	decimal	Cue	
r	1:50.701	0:00.000	decimal	Cue	
r	1:51.138	0:00.000	decimal	Cue	
l	1:51.970	0:00.000	decimal	Cue	
lu	1:52.216	0:02.014	decimal	Cue	
r	1:52.796	0:00.000	decimal	Cue	
ru	1:52.963	0:01.643	decimal	Cue	
l	1:53.205	0:00.000	decimal	Cue	
r	1:53.429	0:00.000	decimal	Cue	
l	1:53.639	0:00.000	decimal	Cue	
r	1:53.796	0:00.000	decimal	Cue	
l	1:54.015	0:00.000	decimal	Cue	
r	1:54.455	0:00.000	decimal	Cue	
ld	1:54.455	0:01.430	decimal	Cue	
r	1:55.284	0:00.000	decimal	Cue	
l	1:56.100	0:00.000	decimal	Cue	
rd	1:56.100	0:01.446	decimal	Cue	
l	1:56.100	0:00.000	decimal	Cue	
r	1:56.100	0:00.000	decimal	Cue	
lu	1:57.086	0:01.697	decimal	Cue	
r	1:57.314	0:00.000	decimal	Cue	
l	1:57.314	0:00.000	decimal	Cue	
l	1:57.755	0:00.000	decimal	Cue	
r	1:57.755	0:00.000	decimal	Cue	
ru	1:57.755	0:01.779	decimal	Cue	
r	1:58.573	0:00.000	decimal	Cue	
ld	1:58.948	0:01.640	decimal	Cue	
l	1:59.378	0:00.000	decimal	Cue	
rd	1:59.765	0:00.636	decimal	Cue	
r	2:00.197	0:00.000	decimal	Cue	
ru	2:00.433	0:00.488	decimal	Cue	
l	2:00.596	0:00.000	decimal	Cue	
l seventh	2:01.025	0:00.000	decimal	Cue	
r	2:01.446	0:00.000	decimal	Cue	
r	2:01.640	0:00.000	decimal	Cue	
r	2:01.883	0:00.000	decimal	Cue	
l	2:02.282	0:00.000	decimal	Cue	
l	2:02.473	0:00.000	decimal	Cue	
l	2:02.706	0:00.000	decimal	Cue	
l	2:02.890	0:00.000	decimal	Cue	
r	2:02.998	0:00.000	decimal	Cue	
l	2:03.095	0:00.000	decimal	Cue	
r	2:03.309	0:00.000	decimal	Cue	
l	2:03.516	0:00.000	decimal	Cue	
ld	2:03.696	0:00.654	decimal	Cue	
rd	2:03.935	0:00.415	decimal	Cue	
r	2:04.350	0:00.000	decimal	Cue	
l	2:04.774	0:00.000	decimal	Cue	
l	2:04.960	0:00.000	decimal	Cue	
l	2:05.189	0:00.000	decimal	Cue	
r	2:05.615	0:00.000	decimal	Cue	
r	2:05.817	0:00.000	decimal	Cue	
r	2:06.043	0:00.000	decimal	Cue	
r	2:06.223	0:00.000	decimal	Cue	
l	2:06.329	0:00.000	decimal	Cue	
r	2:06.432	0:00.000	decimal	Cue	
l	2:06.643	0:00.000	decimal	Cue	
l	2:06.859	0:00.000	decimal	Cue	
r	2:07.039	0:00.000	decimal	Cue	
l	2:07.697	0:00.000	decimal	Cue	
r	2:08.120	0:00.000	decimal	Cue	
r	2:08.320	0:00.000	decimal	Cue	
r	2:08.512	0:00.000	decimal	Cue	
l	2:08.902	0:00.000	decimal	Cue	
l	2:09.129	0:00.000	decimal	Cue	
l	2:09.340	0:00.000	decimal	Cue	
r	2:10.154	0:00.000	decimal	Cue	
l	2:10.563	0:00.000	decimal	Cue	
ld	2:10.563	0:01.648	decimal	Cue	
rd	2:10.563	0:01.648	decimal	Cue	
lu	2:12.321	0:01.178	decimal	Cue	
ru	2:12.321	0:01.584	decimal	Cue	
l	2:13.172	0:00.000	decimal	Cue	
r	2:13.172	0:00.000	decimal	Cue	
l	2:13.386	0:00.000	decimal	Cue	
r	2:13.497	0:00.000	decimal	Cue	
ld	2:13.592	0:01.907	decimal	Cue	
l	2:13.600	0:00.000	decimal	Cue	
r	2:13.694	0:00.000	decimal	Cue	
l	2:13.808	0:00.000	decimal	Cue	
r	2:13.905	0:00.000	decimal	Cue	
rd	2:14.025	0:01.473	decimal	Cue	
l	2:14.463	0:00.000	decimal	Cue	
r	2:15.318	0:00.000	decimal	Cue	
r	2:15.730	0:00.000	decimal	Cue	
l	2:16.333	0:00.000	decimal	Cue	
r	2:16.439	0:00.000	decimal	Cue	
l	2:16.542	0:00.000	decimal	Cue	
rd	2:16.542	0:00.839	decimal	Cue	
r	2:16.754	0:00.000	decimal	Cue	
r	2:16.952	0:00.000	decimal	Cue	
l	2:17.058	0:00.000	decimal	Cue	
r	2:17.157	0:00.000	decimal	Cue	
l	2:17.263	0:00.000	decimal	Cue	
r	2:17.381	0:00.000	decimal	Cue	
ld	2:17.381	0:01.276	decimal	Cue	
ru	2:17.823	0:00.834	decimal	Cue	
r	2:18.658	0:00.000	decimal	Cue	
l	2:18.852	0:00.000	decimal	Cue	
r	2:18.946	0:00.000	decimal	Cue	
l	2:19.069	0:00.000	decimal	Cue	
l	2:19.471	0:00.000	decimal	Cue	
r	2:19.571	0:00.000	decimal	Cue	
l	2:19.654	0:00.000	decimal	Cue	
l	2:19.927	0:00.000	decimal	Cue	
r	2:19.927	0:00.000	decimal	Cue	
r	2:20.129	0:00.000	decimal	Cue	
l	2:20.232	0:00.000	decimal	Cue	
r	2:20.322	0:00.000	decimal	Cue	
l	2:20.418	0:00.000	decimal	Cue	
r	2:20.515	0:00.000	decimal	Cue	
l	2:20.629	0:00.000	decimal	Cue	
r	2:20.729	0:00.000	decimal	Cue	
rd	2:20.729	0:01.278	decimal	Cue	
ld	2:20.729	0:01.278	decimal	Cue	
l	2:21.182	0:00.000	decimal	Cue	
r	2:22.008	0:00.000	decimal	Cue	
l	2:23.269	0:00.000	decimal	Cue	
l	2:23.471	0:00.000	decimal	Cue	
l	2:23.685	0:00.000	decimal	Cue	
l	2:23.951	0:00.000	decimal	Cue	
r	2:24.047	0:00.000	decimal	Cue	
l	2:24.124	0:00.000	decimal	Cue	
rd	2:24.124	0:01.532	decimal	Cue	
ld	2:24.124	0:01.531	decimal	Cue	
ru	2:25.879	0:01.194	decimal	Cue	
l	2:26.747	0:00.000	decimal	Cue	
r	2:26.748	0:00.000	decimal	Cue	
lu	2:26.748	0:01.603	decimal	Cue	
rd	2:27.168	0:01.183	decimal	Cue	
l	2:27.599	0:00.000	decimal	Cue	
r	2:28.065	0:00.000	decimal	Cue	
l	2:28.501	0:00.000	decimal	Cue	
r	2:28.916	0:00.000	decimal	Cue	
l	2:29.351	0:00.000	decimal	Cue	
r	2:29.777	0:00.000	decimal	Cue	
r	2:30.188	0:00.000	decimal	Cue	
r	2:30.404	0:00.000	decimal	Cue	
l	2:30.607	0:00.000	decimal	Cue	
l	2:30.822	0:00.000	decimal	Cue	
l	2:31.023	0:00.000	decimal	Cue	
r	2:31.471	0:00.000	decimal	Cue	
r	2:31.895	0:00.000	decimal	Cue	
l	2:32.257	0:00.000	decimal	Cue	
l	2:32.534	0:00.000	decimal	Cue	
lu	2:32.534	0:00.619	decimal	Cue	
r	2:33.154	0:00.000	decimal	Cue	
ld	2:33.378	0:00.810	decimal	Cue	
r	2:33.559	0:00.000	decimal	Cue	
r	2:33.774	0:00.000	decimal	Cue	
l	2:33.982	0:00.000	decimal	Cue	
l	2:34.189	0:00.000	decimal	Cue	
l	2:34.410	0:00.000	decimal	Cue	
r	2:34.410	0:00.000	decimal	Cue	
l	2:34.856	0:00.000	decimal	Cue	
l	2:35.279	0:00.000	decimal	Cue	
r	2:35.702	0:00.000	decimal	Cue	
r	2:36.129	0:00.000	decimal	Cue	
l	2:36.561	0:00.000	decimal	Cue	
r	2:36.963	0:00.000	decimal	Cue	
l	2:37.383	0:00.000	decimal	Cue	
rd	2:37.550	0:01.996	decimal	Cue	
l	2:37.819	0:00.000	decimal	Cue	
r	2:37.819	0:00.000	decimal	Cue	
ld	2:38.258	0:02.041	decimal	Cue	
ru	2:39.729	0:01.510	decimal	Cue	
l	2:40.404	0:00.000	decimal	Cue	
lu	2:40.404	0:00.835	decimal	Cue	
l	2:40.609	0:00.000	decimal	Cue	
r	2:40.709	0:00.000	decimal	Cue	
l	2:40.821	0:00.000	decimal	Cue	
r	2:40.918	0:00.000	decimal	Cue	
l	2:41.024	0:00.000	decimal	Cue	
r	2:41.123	0:00.000	decimal	Cue	
l	2:41.240	0:00.000	decimal	Cue	
r	2:41.686	0:00.000	decimal	Cue	
l	2:42.538	0:00.000	decimal	Cue	
r	2:43.359	0:00.000	decimal	Cue	
lu	2:43.718	0:00.652	decimal	Cue	
l	2:43.955	0:00.000	decimal	Cue	
ru	2:43.955	0:00.665	decimal	Cue	
l	2:44.620	0:00.000	decimal	Cue	
r	2:44.620	0:00.000	decimal	Cue	
l	2:45.039	0:00.000	decimal	Cue	
r	2:45.884	0:00.000	decimal	Cue	
ld	2:46.070	0:00.827	decimal	Cue	
ru	2:46.457	0:01.093	decimal	Cue	
r	2:47.019	0:00.000	decimal	Cue	
lu	2:47.019	0:01.078	decimal	Cue	
rd	2:47.752	0:00.660	decimal	Cue	
r	2:47.976	0:00.000	decimal	Cue	
l	2:48.850	0:00.000	decimal	Cue	
l	2:49.053	0:00.000	decimal	Cue	
l	2:49.260	0:00.000	decimal	Cue	
r	2:49.456	0:00.000	decimal	Cue	
l	2:49.550	0:00.000	decimal	Cue	
r	2:49.664	0:00.000	decimal	Cue	
r	2:50.084	0:00.000	decimal	Cue	
l	2:50.926	0:00.000	decimal	Cue	
rd	2:50.926	0:01.322	decimal	Cue	
l	2:51.377	0:00.000	decimal	Cue	
ld	2:51.377	0:01.962	decimal	Cue	
r	2:51.377	0:00.000	decimal	Cue	
l	2:51.814	0:00.000	decimal	Cue	
ru	2:52.461	0:01.541	decimal	Cue	
l	2:53.560	0:00.000	decimal	Cue	
lu	2:53.560	0:01.272	decimal	Cue	
r	2:54.003	0:00.000	decimal	Cue	
l	2:54.322	0:00.000	decimal	Cue	
r	2:54.420	0:00.000	decimal	Cue	
l	2:54.521	0:00.000	decimal	Cue	
r	2:54.622	0:00.000	decimal	Cue	
l	2:54.725	0:00.000	decimal	Cue	
ru eighth	2:54.833	0:02.266	decimal	Cue	
l	2:55.274	0:00.000	decimal	Cue	
r	2:56.115	0:00.000	decimal	Cue	
l	2:56.953	0:00.000	decimal	Cue	
rd	2:57.244	0:00.687	decimal	Cue	
r	2:57.779	0:00.000	decimal	Cue	
lu	2:57.931	0:01.423	decimal	Cue	
l	2:58.597	0:00.000	decimal	Cue	
r	2:59.026	0:00.000	decimal	Cue	
r	2:59.223	0:00.000	decimal	Cue	
r	2:59.432	0:00.000	decimal	Cue	
ld	2:59.741	0:01.166	decimal	Cue	
l	3:00.280	0:00.000	decimal	Cue	
rd	3:00.280	0:00.991	decimal	Cue	
lu	3:01.105	0:02.695	decimal	Cue	
r	3:01.105	0:00.000	decimal	Cue	
l	3:01.953	0:00.000	decimal	Cue	
r	3:02.761	0:00.000	decimal	Cue	
l	3:03.596	0:00.000	decimal	Cue	
rd	3:04.000	0:02.363	decimal	Cue	
r	3:04.208	0:00.000	decimal	Cue	
lu	3:04.598	0:01.765	decimal	Cue	
l	3:04.816	0:00.000	decimal	Cue	
l	3:05.671	0:00.000	decimal	Cue	
l	3:05.876	0:00.000	decimal	Cue	
l	3:06.089	0:00.000	decimal	Cue	
lu	3:06.363	0:01.336	decimal	Cue	
r	3:06.894	0:00.000	decimal	Cue	
ru	3:07.104	0:02.239	decimal	Cue	
ld	3:07.847	0:01.496	decimal	Cue	
r	3:08.115	0:00.000	decimal	Cue	
l	3:08.524	0:00.000	decimal	Cue	
r	3:08.699	0:00.000	decimal	Cue	
l	3:08.843	0:00.000	decimal	Cue	
r	3:09.104	0:00.000	decimal	Cue	
r	3:09.343	0:00.000	decimal	Cue	
ld	3:09.589	0:01.362	decimal	Cue	
r	3:10.172	0:00.000	decimal	Cue	
l	3:10.341	0:00.000	decimal	Cue	
rd	3:10.341	0:01.610	decimal	Cue	
l	3:10.959	0:00.000	decimal	Cue	
lu	3:11.133	0:01.366	decimal	Cue	
l	3:11.362	0:00.000	decimal	Cue	
