Name	Start	Duration	Time Format	Type	Description
l	1:14.780	0:00.000	decimal	Cue	
l	1:15.466	0:00.000	decimal	Cue	
r	1:15.466	0:00.000	decimal	Cue	
ld	1:15.466	0:00.714	decimal	Cue	
rd	1:15.466	0:00.714	decimal	Cue	
r	1:16.182	0:00.000	decimal	Cue	
l	1:16.539	0:00.000	decimal	Cue	
r	1:16.878	0:00.000	decimal	Cue	
ru	1:16.878	0:00.725	decimal	Cue	
lu	1:16.878	0:00.725	decimal	Cue	
l	1:17.603	0:00.000	decimal	Cue	
r	1:18.294	0:00.000	decimal	Cue	
ru	1:18.294	0:00.705	decimal	Cue	
ld	1:18.294	0:00.705	decimal	Cue	
r	1:18.657	0:00.000	decimal	Cue	
l	1:19.008	0:00.000	decimal	Cue	
rd	1:19.008	0:00.702	decimal	Cue	
lu	1:19.008	0:00.702	decimal	Cue	
r	1:19.363	0:00.000	decimal	Cue	
l	1:19.704	0:00.000	decimal	Cue	
ru	1:19.710	0:00.725	decimal	Cue	
ld	1:19.710	0:00.725	decimal	Cue	
r	1:20.066	0:00.000	decimal	Cue	
r	1:20.428	0:00.000	decimal	Cue	
l	1:21.120	0:00.000	decimal	Cue	
r	1:21.120	0:00.000	decimal	Cue	
ru	1:21.120	0:01.066	decimal	Cue	
lu	1:21.120	0:01.066	decimal	Cue	
rd	1:22.521	0:00.738	decimal	Cue	
l	1:22.522	0:00.000	decimal	Cue	
r	1:22.891	0:00.000	decimal	Cue	
l	1:23.258	0:00.000	decimal	Cue	
ru	1:23.942	0:00.657	decimal	Cue	
r	1:23.943	0:00.000	decimal	Cue	
r	1:24.299	0:00.000	decimal	Cue	
rd	1:24.636	0:00.725	decimal	Cue	
r	1:25.358	0:00.000	decimal	Cue	
ru	1:25.361	0:00.725	decimal	Cue	
l	1:25.721	0:00.000	decimal	Cue	
r	1:25.721	0:00.000	decimal	Cue	
l	1:26.083	0:00.000	decimal	Cue	
l	1:26.771	0:00.000	decimal	Cue	
r	1:26.771	0:00.000	decimal	Cue	
ld	1:26.771	0:01.066	decimal	Cue	
rd	1:26.771	0:01.067	decimal	Cue	
r	1:27.838	0:00.000	decimal	Cue	
ld	1:28.187	0:01.079	decimal	Cue	
r	1:28.193	0:00.000	decimal	Cue	
l	1:28.901	0:00.000	decimal	Cue	
r	1:28.901	0:00.000	decimal	Cue	
lu	1:29.594	0:00.656	decimal	Cue	
l	1:30.300	0:00.000	decimal	Cue	
ld	1:30.300	0:00.699	decimal	Cue	
lu	1:31.000	0:00.737	decimal	Cue	
r	1:31.000	0:00.000	decimal	Cue	
r	1:31.367	0:00.000	decimal	Cue	
l	1:31.736	0:00.000	decimal	Cue	
r	1:31.737	0:00.000	decimal	Cue	
l	1:32.406	0:00.000	decimal	Cue	
lu	1:32.411	0:01.086	decimal	Cue	
ru	1:32.411	0:01.086	decimal	Cue	
l	1:32.772	0:00.000	decimal	Cue	
l	1:33.127	0:00.000	decimal	Cue	
ru	1:33.869	0:00.531	decimal	Cue	
r	1:33.869	0:00.000	decimal	Cue	
l	1:33.869	0:00.000	decimal	Cue	
rd	1:34.457	0:00.644	decimal	Cue	
l	1:34.458	0:00.000	decimal	Cue	
r	1:34.629	0:00.000	decimal	Cue	
l	1:34.784	0:00.000	decimal	Cue	
l	1:35.101	0:00.000	decimal	Cue	
ld	1:35.102	0:00.740	decimal	Cue	
r	1:35.860	0:00.000	decimal	Cue	
lu	1:35.860	0:00.829	decimal	Cue	
r	1:36.050	0:00.000	decimal	Cue	
r	1:36.217	0:00.000	decimal	Cue	
l	1:36.471	0:00.000	decimal	Cue	
l	1:36.689	0:00.000	decimal	Cue	
r	1:36.689	0:00.000	decimal	Cue	
rd	1:36.691	0:00.641	decimal	Cue	
l	1:37.350	0:00.000	decimal	Cue	
ru	1:37.352	0:00.777	decimal	Cue	
r	1:37.757	0:00.000	decimal	Cue	
l	1:38.131	0:00.000	decimal	Cue	
r	1:38.131	0:00.000	decimal	Cue	
ld	1:38.131	0:00.602	decimal	Cue	
lu	1:38.761	0:00.696	decimal	Cue	
ru	1:38.761	0:00.696	decimal	Cue	
l	1:39.457	0:00.000	decimal	Cue	
r	1:40.178	0:00.000	decimal	Cue	
l	1:40.371	0:00.000	decimal	Cue	
r	1:40.545	0:00.000	decimal	Cue	
l	1:40.920	0:00.000	decimal	Cue	
r	1:40.920	0:00.000	decimal	Cue	
l	1:41.591	0:00.000	decimal	Cue	
l	1:41.783	0:00.000	decimal	Cue	
l	1:41.956	0:00.000	decimal	Cue	
r	1:42.143	0:00.000	decimal	Cue	
r	1:42.357	0:00.000	decimal	Cue	
ld	1:43.000	0:00.372	decimal	Cue	
ru	1:43.000	0:00.372	decimal	Cue	
l	1:43.000	0:00.000	decimal	Cue	
lu	1:43.392	0:00.359	decimal	Cue	
rd	1:43.392	0:00.995	decimal	Cue	
r	1:43.392	0:00.000	decimal	Cue	
l	1:43.784	0:00.000	decimal	Cue	
ld	1:43.784	0:00.603	decimal	Cue	
l	1:44.410	0:00.000	decimal	Cue	
ru	1:44.411	0:00.651	decimal	Cue	
lu	1:44.411	0:00.651	decimal	Cue	
rd	1:45.123	0:00.705	decimal	Cue	
l	1:45.124	0:00.000	decimal	Cue	
l	1:45.829	0:00.000	decimal	Cue	
r	1:45.829	0:00.000	decimal	Cue	
l	1:45.968	0:00.000	decimal	Cue	
r	1:46.102	0:00.000	decimal	Cue	
l	1:46.362	0:00.000	decimal	Cue	
r	1:46.362	0:00.000	decimal	Cue	
ld	1:46.362	0:00.868	decimal	Cue	
r	1:47.234	0:00.000	decimal	Cue	
r	1:47.396	0:00.000	decimal	Cue	
r	1:47.546	0:00.000	decimal	Cue	
r	1:47.768	0:00.000	decimal	Cue	
l	1:47.946	0:00.000	decimal	Cue	
r	1:47.946	0:00.000	decimal	Cue	
rd	1:47.946	0:00.707	decimal	Cue	
l	1:48.654	0:00.000	decimal	Cue	
r	1:49.000	0:00.000	decimal	Cue	
l	1:49.360	0:00.000	decimal	Cue	
ru	1:49.360	0:00.706	decimal	Cue	
l	1:50.066	0:00.000	decimal	Cue	
r	1:50.720	0:00.000	decimal	Cue	
lu	1:50.720	0:00.728	decimal	Cue	
ru	1:50.720	0:00.728	decimal	Cue	
l	1:50.720	0:00.000	decimal	Cue	
r	1:50.720	0:00.000	decimal	Cue	
rd	1:51.469	0:00.643	decimal	Cue	
ld	1:51.469	0:00.643	decimal	Cue	
l	1:51.469	0:00.000	decimal	Cue	
l	1:51.656	0:00.000	decimal	Cue	
r	1:51.829	0:00.000	decimal	Cue	
rd	1:52.113	0:01.479	decimal	Cue	
lu	1:52.113	0:01.479	decimal	Cue	
r	1:52.114	0:00.000	decimal	Cue	
l	1:52.889	0:00.000	decimal	Cue	
r	1:52.889	0:00.000	decimal	Cue	
r	1:53.070	0:00.000	decimal	Cue	
l	1:53.250	0:00.000	decimal	Cue	
l	1:53.419	0:00.000	decimal	Cue	
l	1:53.591	0:00.000	decimal	Cue	
r	1:53.591	0:00.000	decimal	Cue	
ru	1:53.593	0:00.706	decimal	Cue	
ld	1:53.593	0:00.706	decimal	Cue	
r	1:54.295	0:00.000	decimal	Cue	
l	1:54.682	0:00.000	decimal	Cue	
r	1:55.064	0:00.000	decimal	Cue	
rd	1:55.064	0:00.653	decimal	Cue	
l	1:55.718	0:00.000	decimal	Cue	
r	1:56.387	0:00.000	decimal	Cue	
ld	1:56.387	0:00.688	decimal	Cue	
ru	1:56.765	0:01.102	decimal	Cue	
lu	1:57.112	0:01.416	decimal	Cue	
l	1:57.112	0:00.000	decimal	Cue	
r	1:57.295	0:00.000	decimal	Cue	
r	1:57.467	0:00.000	decimal	Cue	
l	1:57.867	0:00.000	decimal	Cue	
r	1:57.867	0:00.000	decimal	Cue	
rd	1:57.868	0:01.334	decimal	Cue	
r	1:58.540	0:00.000	decimal	Cue	
ld	1:58.540	0:01.410	decimal	Cue	
l	1:58.721	0:00.000	decimal	Cue	
l	1:58.895	0:00.000	decimal	Cue	
l	1:59.065	0:00.000	decimal	Cue	
ru	1:59.244	0:00.705	decimal	Cue	
r	1:59.946	0:00.000	decimal	Cue	
l	2:00.340	0:00.000	decimal	Cue	
r	2:00.717	0:00.000	decimal	Cue	
r	2:01.370	0:00.000	decimal	Cue	
l	2:01.370	0:00.000	decimal	Cue	
r	2:02.079	0:00.000	decimal	Cue	
l	2:02.774	0:00.000	decimal	Cue	
l	2:03.479	0:00.000	decimal	Cue	
l	2:04.184	0:00.000	decimal	Cue	
r	2:04.370	0:00.000	decimal	Cue	
r	2:04.549	0:00.000	decimal	Cue	
l	2:04.718	0:00.000	decimal	Cue	
r	2:04.900	0:00.000	decimal	Cue	
ru	2:05.598	0:01.401	decimal	Cue	
r	2:05.958	0:00.000	decimal	Cue	
lu	2:06.307	0:01.220	decimal	Cue	
l	2:06.483	0:00.000	decimal	Cue	
r	2:07.000	0:00.000	decimal	Cue	
ld	2:07.550	0:00.868	decimal	Cue	
l	2:08.422	0:00.000	decimal	Cue	
r	2:08.601	0:00.000	decimal	Cue	
l	2:08.786	0:00.000	decimal	Cue	
l	2:09.041	0:00.000	decimal	Cue	
r	2:09.041	0:00.000	decimal	Cue	
r	2:09.837	0:00.000	decimal	Cue	
r	2:10.010	0:00.000	decimal	Cue	
l	2:10.189	0:00.000	decimal	Cue	
r	2:10.372	0:00.000	decimal	Cue	
l	2:10.545	0:00.000	decimal	Cue	
r	2:11.247	0:00.000	decimal	Cue	
ru	2:11.249	0:00.675	decimal	Cue	
l	2:11.599	0:00.000	decimal	Cue	
r	2:11.958	0:00.000	decimal	Cue	
rd	2:11.958	0:01.413	decimal	Cue	
r	2:12.495	0:00.000	decimal	Cue	
lu	2:13.000	0:01.600	decimal	Cue	
l	2:13.000	0:00.000	decimal	Cue	
r	2:13.000	0:00.000	decimal	Cue	
r	2:13.375	0:00.000	decimal	Cue	
l	2:14.080	0:00.000	decimal	Cue	
ld	2:14.656	0:01.466	decimal	Cue	
r	2:15.489	0:00.000	decimal	Cue	
l	2:16.208	0:00.000	decimal	Cue	
r	2:16.905	0:00.000	decimal	Cue	
r	2:17.218	0:00.000	decimal	Cue	
l	2:17.647	0:00.000	decimal	Cue	
l	2:18.314	0:00.000	decimal	Cue	
r	2:18.314	0:00.000	decimal	Cue	
r	2:18.649	0:00.000	decimal	Cue	
l	2:19.017	0:00.000	decimal	Cue	
r	2:19.743	0:00.000	decimal	Cue	
l	2:20.432	0:00.000	decimal	Cue	
r	2:21.151	0:00.000	decimal	Cue	
lu	2:21.842	0:01.421	decimal	Cue	
r	2:22.570	0:00.000	decimal	Cue	
ru	2:23.263	0:01.058	decimal	Cue	
r	2:23.266	0:00.000	decimal	Cue	
r	2:23.967	0:00.000	decimal	Cue	
ld	2:24.322	0:01.762	decimal	Cue	
l	2:24.665	0:00.000	decimal	Cue	
r	2:25.396	0:00.000	decimal	Cue	
rd	2:26.085	0:01.331	decimal	Cue	
l	2:26.086	0:00.000	decimal	Cue	
r	2:26.788	0:00.000	decimal	Cue	
ru	2:27.487	0:01.418	decimal	Cue	
l	2:28.216	0:00.000	decimal	Cue	
lu	2:28.905	0:01.030	decimal	Cue	
r	2:29.620	0:00.000	decimal	Cue	
ld	2:29.976	0:01.758	decimal	Cue	
r	2:30.316	0:00.000	decimal	Cue	
l	2:31.052	0:00.000	decimal	Cue	
r	2:31.730	0:00.000	decimal	Cue	
l	2:32.446	0:00.000	decimal	Cue	
r	2:33.135	0:00.000	decimal	Cue	
l	2:33.869	0:00.000	decimal	Cue	
l	2:34.562	0:00.000	decimal	Cue	
l	2:34.918	0:00.000	decimal	Cue	
r	2:35.270	0:00.000	decimal	Cue	
l	2:35.633	0:00.000	decimal	Cue	
r	2:35.634	0:00.000	decimal	Cue	
rd	2:35.862	0:01.461	decimal	Cue	
lu	2:36.697	0:01.347	decimal	Cue	
l	2:36.697	0:00.000	decimal	Cue	
ru	2:37.376	0:01.350	decimal	Cue	
r	2:37.378	0:00.000	decimal	Cue	
ld	2:38.093	0:01.429	decimal	Cue	
rd	2:38.786	0:01.420	decimal	Cue	
l	2:39.155	0:00.000	decimal	Cue	
r	2:40.205	0:00.000	decimal	Cue	
ld	2:40.208	0:01.071	decimal	Cue	
rd	2:40.208	0:01.071	decimal	Cue	
l	2:40.917	0:00.000	decimal	Cue	
r	2:41.619	0:00.000	decimal	Cue	
l	2:42.353	0:00.000	decimal	Cue	
r	2:43.038	0:00.000	decimal	Cue	
l	2:43.040	0:00.000	decimal	Cue	
l	2:43.741	0:00.000	decimal	Cue	
r	2:43.742	0:00.000	decimal	Cue	
lu	2:44.438	0:01.414	decimal	Cue	
r	2:45.171	0:00.000	decimal	Cue	
l	2:45.853	0:00.000	decimal	Cue	
l	2:45.854	0:00.000	decimal	Cue	
r	2:45.854	0:00.000	decimal	Cue	
ru	2:45.854	0:01.384	decimal	Cue	
r	2:46.567	0:00.000	decimal	Cue	
rd	2:47.263	0:00.711	decimal	Cue	
ru	2:47.994	0:00.692	decimal	Cue	
l	2:48.686	0:00.000	decimal	Cue	
lu	2:48.687	0:00.682	decimal	Cue	
ld	2:49.393	0:00.670	decimal	Cue	
lu	2:50.087	0:00.731	decimal	Cue	
r	2:50.093	0:00.000	decimal	Cue	
r	2:50.817	0:00.000	decimal	Cue	
l	2:51.500	0:00.000	decimal	Cue	
ru	2:51.500	0:00.725	decimal	Cue	
r	2:52.227	0:00.000	decimal	Cue	
r	2:52.915	0:00.000	decimal	Cue	
l	2:52.915	0:00.000	decimal	Cue	
lu	2:52.915	0:00.730	decimal	Cue	
ru	2:53.284	0:00.691	decimal	Cue	
rd	2:53.997	0:00.702	decimal	Cue	
ld	2:54.331	0:00.713	decimal	Cue	
r	2:55.045	0:00.000	decimal	Cue	
l	2:55.045	0:00.000	decimal	Cue	
ru	2:55.737	0:00.729	decimal	Cue	
l	2:56.471	0:00.000	decimal	Cue	
ld	2:57.158	0:01.068	decimal	Cue	
r	2:57.871	0:00.000	decimal	Cue	
l	2:59.296	0:00.000	decimal	Cue	
r	2:59.978	0:00.000	decimal	Cue	
l	2:59.980	0:00.000	decimal	Cue	
r	3:00.691	0:00.000	decimal	Cue	
rd	3:01.384	0:00.734	decimal	Cue	
lu	3:01.384	0:00.734	decimal	Cue	
l	3:02.118	0:00.000	decimal	Cue	
ld	3:02.801	0:00.690	decimal	Cue	
ru	3:02.801	0:00.690	decimal	Cue	
r	3:02.802	0:00.000	decimal	Cue	
l	3:03.515	0:00.000	decimal	Cue	
lu	3:03.516	0:01.383	decimal	Cue	
rd	3:03.516	0:02.823	decimal	Cue	
l	3:04.214	0:00.000	decimal	Cue	
ld	3:04.941	0:01.397	decimal	Cue	
r	3:04.941	0:00.000	decimal	Cue	
r	3:05.625	0:00.000	decimal	Cue	
r	3:06.337	0:00.000	decimal	Cue	
l	3:06.339	0:00.000	decimal	Cue	
r	3:06.709	0:00.000	decimal	Cue	
r	3:06.870	0:00.000	decimal	Cue	
r	3:07.031	0:00.000	decimal	Cue	
l	3:07.405	0:00.000	decimal	Cue	
l	3:07.731	0:00.000	decimal	Cue	
r	3:08.455	0:00.000	decimal	Cue	
r	3:09.172	0:00.000	decimal	Cue	
l	3:09.529	0:00.000	decimal	Cue	
ru	3:09.850	0:00.308	decimal	Cue	
l	3:10.593	0:00.000	decimal	Cue	
r	3:10.593	0:00.000	decimal	Cue	
lu	3:10.937	0:00.263	decimal	Cue	
ld	3:11.232	0:00.248	decimal	Cue	
lu	3:11.506	0:00.243	decimal	Cue	
ld	3:11.750	0:00.249	decimal	Cue	
lu	3:12.000	0:00.416	decimal	Cue	
r	3:13.420	0:00.000	decimal	Cue	
l	3:13.420	0:00.000	decimal	Cue	
l	3:14.107	0:00.000	decimal	Cue	
r	3:14.107	0:00.000	decimal	Cue	
r	3:14.814	0:00.000	decimal	Cue	
l	3:14.816	0:00.000	decimal	Cue	
l	3:15.500	0:00.000	decimal	Cue	
lu	3:15.500	0:00.751	decimal	Cue	
l	3:16.241	0:00.000	decimal	Cue	
rd	3:16.922	0:00.727	decimal	Cue	
r	3:16.923	0:00.000	decimal	Cue	
ru	3:17.649	0:00.692	decimal	Cue	
rd	3:18.342	0:02.084	decimal	Cue	
